datetime,temperature,wind
2023-07-06 10:00:00+02:00,15.3,3.5
2023-07-06 11:00:00+02:00,14.9,3.2
2023-07-06 12:00:00+02:00,14.2,3.6
2023-07-06 13:00:00+02:00,13.6,2.7
2023-07-06 14:00:00+02:00,16.8,3.1
2023-07-06 15:00:00+02:00,15.5,0.4
2023-07-06 16:00:00+02:00,15.4,2.2
2023-07-06 17:00:00+02:00,17.1,
2023-07-06 18:00:00+02:00,17.2,1.8
2023-07-06 19:00:00+02:00,16.5,2.6
2023-07-06 20:00:00+02:00,,1.4
2023-07-06 21:00:00+02:00,16.6,1.6
2023-07-06 22:00:00+02:00,,0.9
2023-07-06 23:00:00+02:00,14.0,1.1
2023-07-07 00:00:00+02:00,13.1,
2023-07-07 01:00:00+02:00,12.7,
2023-07-07 02:00:00+02:00,12.5,
2023-07-07 03:00:00+02:00,11.7,2.0
2023-07-07 04:00:00+02:00,11.8,2.4
2023-07-07 05:00:00+02:00,11.9,
2023-07-07 06:00:00+02:00,12.6,0.8
2023-07-07 07:00:00+02:00,13.3,1.0
2023-07-07 08:00:00+02:00,14.4,1.2
2023-07-07 09:00:00+02:00,15.9,0.2
2023-07-07 10:00:00+02:00,18.3,0.7
2023-07-07 11:00:00+02:00,20.0,
2023-07-07 12:00:00+02:00,19.0,
2023-07-07 13:00:00+02:00,20.4,1.7
2023-07-07 14:00:00+02:00,21.0,
2023-07-07 15:00:00+02:00,21.4,
2023-07-07 16:00:00+02:00,22.2,2.1
2023-07-07 17:00:00+02:00,22.0,4.3
2023-07-07 19:00:00+02:00,20.8,
2023-07-07 20:00:00+02:00,,4.8
2023-07-07 21:00:00+02:00,15.7,
2023-07-08 01:00:00+02:00,15.2,
2023-07-08 02:00:00+02:00,14.6,
2023-07-08 07:00:00+02:00,16.7,
2023-07-08 08:00:00+02:00,18.7,2.8
2023-07-08 10:00:00+02:00,20.7,
2023-07-08 11:00:00+02:00,21.2,
2023-07-08 12:00:00+02:00,22.3,
2023-07-08 13:00:00+02:00,23.5,
2023-07-08 14:00:00+02:00,24.3,
2023-07-08 15:00:00+02:00,23.6,2.5
2023-07-08 16:00:00+02:00,,2.3
2023-07-08 17:00:00+02:00,24.4,3.3
2023-07-08 18:00:00+02:00,23.8,3.4
2023-07-08 19:00:00+02:00,24.2,
2023-07-08 20:00:00+02:00,24.0,
2023-07-08 22:00:00+02:00,21.6,
2023-07-08 23:00:00+02:00,19.1,
2023-07-09 00:00:00+02:00,17.8,1.9
2023-07-09 01:00:00+02:00,,1.3
2023-07-09 02:00:00+02:00,15.8,
